Players,playerid
Heinrich Klaasen  (South Africa),PlayerID=4731
Dwaine Pretorius  (South Africa),PlayerID=4589
Mohammed Shami  (India),PlayerID=3993
Rilee Rossouw  (South Africa),PlayerID=4321
Mohammad Saifuddin  (Bangladesh),PlayerID=4677
Shafiqullah  (Afghanistan),PlayerID=3730
Mujeeb Ur Rahman  (Afghanistan),PlayerID=4714
Romario Shepherd  (West Indies),PlayerID=5662
Ibrahim Zadran  (Afghanistan),PlayerID=5471
Junior Dala  (South Africa),PlayerID=4739
Kuldeep Yadav  (India),PlayerID=4652
Joe Root  (England),PlayerID=3981
Andre Russell  (West Indies),PlayerID=3836
Tom Curran  (England),PlayerID=4693
Chris Jordan  (England),PlayerID=4238
Kevin O'Brien  (Ireland),PlayerID=3391
Martin Guptill  (New Zealand),PlayerID=3633
Chadwick Walton  (West Indies),PlayerID=3713
Josh Hazlewood  (Australia),PlayerID=3799
Eoin Morgan  (England  Ireland),PlayerID=3416
Karim Sadiq  (Afghanistan),PlayerID=3664
Parthiv Patel  (India),PlayerID=3035
Farhaan Behardien  (South Africa),PlayerID=3951
Chris Lynn  (Australia),PlayerID=4108
Amit Mishra  (India),PlayerID=3108
Lungisani Ngidi  (South Africa),PlayerID=4636
Amir Hamza  (Afghanistan),PlayerID=3935
Beuran Hendricks  (South Africa),PlayerID=4273
Sam Curran  (England),PlayerID=4787
Jason Behrendorff  (Australia),PlayerID=4705
James Anderson  (England),PlayerID=3065
Marcus Stoinis  (Australia),PlayerID=4389
Carlos Brathwaite  (West Indies),PlayerID=3908
Haris Sohail  (Pakistan),PlayerID=4225
Umar Amin  (Pakistan),PlayerID=3793
Jason Holder  (West Indies),PlayerID=3998
Ben Foakes  (England),PlayerID=4832
Henry Nicholls  (New Zealand),PlayerID=4509
Joe Denly  (England),PlayerID=3724
Fakhar Zaman  (Pakistan),PlayerID=4654
Boyd Rankin  (Ireland  England),PlayerID=3459
Aamer Yamin  (Pakistan),PlayerID=4480
Adil Rashid  (England),PlayerID=3696
Mosaddeck Hossain  (Bangladesh),PlayerID=4516
