match_id,score,how dismissed,strike rate,4s,6s,batting position,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3974,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4256,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4255,-,dnb,-,-,-,,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4260,0,c†HopebHolder,0.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4215,4,bDananjaya,50.00,0,0,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4212,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4165,5,runout,62.50,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4149,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4170,20,cStanlakebStoinis,42.55,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4169,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4168,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4167,0,notout,0.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4166,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4125,13,runout,75.00,1,0,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4123,8,c†PainebCummins,87.50,1,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4117,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4115,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4108,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4041,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4072,11,notout,300.00,2,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4070,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4068,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4005,11,runout,300.00,0,1,Tail,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4021,44,c†O'BrienbChase,156.00,5,0,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4045,7,runout,53.85,0,0,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4036,13,lbwbSantner,109.09,1,0,Middle Order,Adil Rashid  (England)
